epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,4090.93,1.00221,0.45973,1.11518,0.98636,0.99942,0.99448,0.77928,0.91085,0.37234,1.0968,0.000307,0.000307,0.000307
107,4133.47,1.01304,0.45869,1.08636,0.98631,0.99861,0.9945,0.78205,0.90124,0.3729,1.0913,0.0003004,0.0003004,0.0003004
108,4174.17,0.96514,0.44422,1.07203,0.98615,0.99905,0.99452,0.78135,0.898,0.37123,1.08914,0.0002938,0.0002938,0.0002938
109,4216.19,0.97533,0.43771,1.06604,0.98633,0.99915,0.99453,0.78109,0.89898,0.37013,1.08876,0.0002872,0.0002872,0.0002872
110,4257.02,0.97501,0.43919,1.07244,0.98638,0.99905,0.99459,0.78179,0.89493,0.37023,1.08533,0.0002806,0.0002806,0.0002806
111,4297.67,0.98502,0.45279,1.08115,0.9866,0.99905,0.99453,0.78185,0.88495,0.3685,1.08326,0.000274,0.000274,0.000274
112,4339.02,0.98566,0.44173,1.09237,0.98674,0.99905,0.99442,0.78378,0.883,0.36872,1.08288,0.0002674,0.0002674,0.0002674
113,4380.73,0.9894,0.44624,1.06122,0.98665,0.99905,0.99426,0.78084,0.89556,0.37224,1.0874,0.0002608,0.0002608,0.0002608
114,4421.3,0.98622,0.44133,1.07449,0.98652,0.99905,0.9943,0.78311,0.88753,0.37042,1.08492,0.0002542,0.0002542,0.0002542
115,4462.87,0.99958,0.45009,1.06823,0.98639,0.99905,0.99436,0.77884,0.90721,0.37264,1.09715,0.0002476,0.0002476,0.0002476
116,4503.55,0.99616,0.44825,1.08829,0.98647,0.99905,0.99448,0.7791,0.89852,0.36932,1.09267,0.000241,0.000241,0.000241
117,4544.24,0.9806,0.44554,1.07021,0.98639,0.99905,0.99449,0.7827,0.88924,0.3674,1.08624,0.0002344,0.0002344,0.0002344
118,4585.82,1.00029,0.44241,1.07367,0.98659,0.99905,0.99449,0.78419,0.88561,0.36824,1.08444,0.0002278,0.0002278,0.0002278
119,4626.55,0.97378,0.45069,1.05719,0.98658,0.99905,0.99455,0.78383,0.888,0.36884,1.08563,0.0002212,0.0002212,0.0002212
120,4667.49,0.9896,0.4404,1.08097,0.98658,0.99905,0.99456,0.78643,0.88464,0.36653,1.08587,0.0002146,0.0002146,0.0002146
121,4708.14,0.96558,0.44526,1.08566,0.98713,0.99874,0.99459,0.78615,0.88654,0.36593,1.08877,0.000208,0.000208,0.000208
122,4747.85,0.95988,0.43045,1.07306,0.98639,0.99905,0.99458,0.78874,0.88037,0.36369,1.08597,0.0002014,0.0002014,0.0002014
123,4790.42,1.00048,0.45348,1.07767,0.98602,0.99905,0.99457,0.78891,0.87777,0.36335,1.08393,0.0001948,0.0001948,0.0001948
124,4827.69,0.98206,0.44466,1.07752,0.98611,0.99905,0.99459,0.78786,0.87717,0.36419,1.08209,0.0001882,0.0001882,0.0001882
